image,D00,D10,D20,D40,combination,split
Japan_001337.jpg,0,0,0,0,NONE,train
Japan_001996.jpg,1,0,0,0,D00,train
Japan_004046.jpg,0,1,0,0,D10,train
Japan_005136.jpg,0,1,1,0,D10+D20,train
Japan_000808.jpg,0,0,1,0,D20,train
Japan_009402.jpg,0,0,0,0,NONE,train
Japan_002562.jpg,0,0,0,1,D40,train
Japan_002884.jpg,0,0,0,1,D40,train
Japan_006148.jpg,0,0,0,0,NONE,train
Japan_005913.jpg,0,0,1,0,D20,train
Japan_001612.jpg,0,0,1,0,D20,train
Japan_005022.jpg,1,0,0,0,D00,train
Japan_009682.jpg,0,0,0,0,NONE,train
Japan_012052.jpg,0,0,1,0,D20,train
Japan_007689.jpg,0,0,0,0,NONE,train
Japan_006674.jpg,0,0,1,0,D20,train
Japan_010083.jpg,1,0,0,0,D00,train
Japan_004282.jpg,0,0,1,0,D20,train
Japan_008840.jpg,0,0,1,0,D20,train
Japan_005446.jpg,1,1,1,0,D00+D10+D20,train
Japan_002395.jpg,1,0,0,0,D00,train
Japan_003185.jpg,0,0,0,1,D40,train
Japan_006185.jpg,1,0,1,0,D00+D20,train
Japan_006020.jpg,1,1,0,0,D00+D10,train
Japan_009341.jpg,1,1,0,0,D00+D10,train
Japan_010996.jpg,0,0,0,0,NONE,train
Japan_005797.jpg,0,0,0,0,NONE,train
Japan_000200.jpg,1,0,0,0,D00,train
Japan_000340.jpg,0,1,0,0,D10,train
Japan_007469.jpg,0,0,0,0,NONE,train
Japan_007539.jpg,0,0,1,0,D20,train
Japan_012830.jpg,0,0,1,0,D20,train
Japan_005524.jpg,0,0,0,0,NONE,train
Japan_007858.jpg,0,0,1,0,D20,train
Japan_002044.jpg,0,0,1,0,D20,train
Japan_011469.jpg,0,0,0,0,NONE,train
Japan_005349.jpg,0,1,0,0,D10,train
Japan_007142.jpg,0,0,0,1,D40,train
Japan_001093.jpg,0,1,1,0,D10+D20,train
Japan_004559.jpg,0,0,0,0,NONE,train
Japan_007277.jpg,0,0,1,0,D20,train
Japan_002900.jpg,0,0,0,0,NONE,train
Japan_003153.jpg,0,1,1,1,D10+D20+D40,train
