epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,188.746,2.19285,3.20604,2.11305,0.22704,0.22285,0.14027,0.0521,2.29161,2.94096,2.20636,0.000416214,0.000416214,0.000416214
2,336.28,2.17451,2.74314,2.12383,0.27628,0.21796,0.17593,0.06842,2.22603,2.73696,2.08758,0.000816389,0.000816389,0.000816389
3,480.085,2.12485,2.62979,2.06095,0.36353,0.25944,0.20391,0.07746,2.14182,2.61118,2.07046,0.00120007,0.00120007,0.00120007
4,627.388,2.06288,2.51732,2.0193,0.29081,0.2424,0.19054,0.074,2.12918,2.71547,2.03687,0.00117575,0.00117575,0.00117575
5,774.015,2.00415,2.37788,1.95698,0.32309,0.34171,0.27537,0.11436,1.98829,2.30515,1.91624,0.001151,0.001151,0.001151
6,918.432,1.97058,2.29848,1.91619,0.37613,0.31605,0.28337,0.11779,1.98807,2.30851,1.89653,0.00112625,0.00112625,0.00112625
7,1062.23,1.91485,2.21652,1.86923,0.3663,0.36171,0.3157,0.13525,1.91134,2.18184,1.83724,0.0011015,0.0011015,0.0011015
8,1207.12,1.88853,2.13655,1.84287,0.42168,0.3786,0.34487,0.14525,1.92849,2.12289,1.85709,0.00107675,0.00107675,0.00107675
9,1352.38,1.8721,2.09513,1.82943,0.40037,0.37431,0.34603,0.15174,1.91078,2.08716,1.80989,0.001052,0.001052,0.001052
10,1497.75,1.84406,2.03847,1.80122,0.41652,0.41238,0.37856,0.16432,1.87768,2.03994,1.81247,0.00102725,0.00102725,0.00102725
11,1640.44,1.83648,2.00963,1.78812,0.40325,0.39888,0.36877,0.16205,1.87546,2.03236,1.79347,0.0010025,0.0010025,0.0010025
12,1783.17,1.8177,1.98198,1.77696,0.41555,0.41657,0.38797,0.1673,1.87879,2.02024,1.82154,0.00097775,0.00097775,0.00097775
13,1927.92,1.79014,1.92727,1.76065,0.45672,0.43839,0.40892,0.17854,1.86131,1.95759,1.79453,0.000953,0.000953,0.000953
14,2073.35,1.77492,1.89786,1.74463,0.45992,0.44436,0.41282,0.1816,1.86567,1.92604,1.79518,0.00092825,0.00092825,0.00092825
15,2217.81,1.76254,1.86878,1.73225,0.45224,0.43386,0.40495,0.18155,1.82962,1.90907,1.73492,0.0009035,0.0009035,0.0009035
16,2363.07,1.74853,1.82519,1.72205,0.46281,0.44066,0.43115,0.19394,1.8336,1.89085,1.76585,0.00087875,0.00087875,0.00087875
17,2511.04,1.74014,1.79156,1.71072,0.47328,0.45017,0.44043,0.19694,1.80874,1.83985,1.75644,0.000854,0.000854,0.000854
18,2656.63,1.71759,1.76209,1.69534,0.51267,0.44534,0.4568,0.20517,1.82439,1.80913,1.75077,0.00082925,0.00082925,0.00082925
19,2803.04,1.70907,1.72158,1.69057,0.46689,0.46287,0.45608,0.20844,1.8341,1.81228,1.7427,0.0008045,0.0008045,0.0008045
20,2948.83,1.68824,1.71068,1.67324,0.49943,0.45942,0.4651,0.2096,1.82354,1.78267,1.7396,0.00077975,0.00077975,0.00077975
21,3092.99,1.67514,1.67302,1.66301,0.48872,0.47636,0.46485,0.20747,1.81921,1.78963,1.74807,0.000755,0.000755,0.000755
22,3237.54,1.66055,1.64139,1.65049,0.51383,0.46605,0.46928,0.2086,1.82923,1.79001,1.74501,0.00073025,0.00073025,0.00073025
23,3387.56,1.65445,1.61294,1.64861,0.52234,0.46885,0.47635,0.21678,1.81459,1.76057,1.72762,0.0007055,0.0007055,0.0007055
24,3534.45,1.63616,1.59035,1.63502,0.49056,0.48633,0.47893,0.21875,1.81147,1.74265,1.74225,0.00068075,0.00068075,0.00068075
25,3679.24,1.61702,1.55778,1.61933,0.54047,0.47928,0.48753,0.22367,1.80432,1.72559,1.72734,0.000656,0.000656,0.000656
26,3824.37,1.60804,1.53274,1.61595,0.54062,0.4836,0.49217,0.22598,1.80456,1.7163,1.74256,0.00063125,0.00063125,0.00063125
27,3969.53,1.59967,1.50003,1.61041,0.52,0.48579,0.49017,0.22443,1.8109,1.70113,1.75062,0.0006065,0.0006065,0.0006065
28,4115.8,1.58173,1.48119,1.59299,0.52265,0.48651,0.49117,0.22319,1.82768,1.70462,1.74506,0.00058175,0.00058175,0.00058175
29,4264.05,1.56549,1.44658,1.58026,0.54441,0.47751,0.48988,0.22373,1.81871,1.70809,1.74121,0.000557,0.000557,0.000557
30,4408.14,1.54995,1.42433,1.5692,0.50282,0.50516,0.49344,0.22551,1.82701,1.69852,1.75345,0.00053225,0.00053225,0.00053225
31,4552.88,1.53268,1.38174,1.55902,0.54481,0.48131,0.48968,0.22136,1.8312,1.70194,1.75592,0.0005075,0.0005075,0.0005075
32,4698.44,1.50358,1.36702,1.53732,0.53427,0.50159,0.49738,0.2247,1.83534,1.67426,1.76739,0.00048275,0.00048275,0.00048275
33,4844.45,1.50379,1.33136,1.53893,0.55065,0.47841,0.50179,0.22563,1.8309,1.67431,1.76337,0.000458,0.000458,0.000458
34,4990.83,1.47911,1.30113,1.52664,0.52969,0.51393,0.50396,0.22834,1.84171,1.67501,1.77749,0.00043325,0.00043325,0.00043325
35,5136.52,1.46546,1.26603,1.50975,0.54562,0.49421,0.50682,0.23155,1.84249,1.65254,1.7736,0.0004085,0.0004085,0.0004085
36,5280.76,1.45229,1.24948,1.50049,0.52901,0.51352,0.50541,0.22886,1.83735,1.66783,1.76895,0.00038375,0.00038375,0.00038375
