epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,183.62,2.18797,3.13597,2.09443,0.19828,0.21845,0.13155,0.04723,2.34351,2.85427,2.2288,0.000416214,0.000416214,0.000416214
2,330.946,2.12353,2.61691,2.05344,0.46453,0.23139,0.19873,0.0768,2.17706,2.63013,2.07036,0.000816389,0.000816389,0.000816389
3,474.726,2.04876,2.48601,2.00021,0.22178,0.28544,0.17947,0.06456,2.21522,2.65014,2.0803,0.00120007,0.00120007,0.00120007
4,619.012,1.96925,2.32983,1.92504,0.33691,0.31628,0.25461,0.09529,2.15519,2.43407,2.03091,0.00117575,0.00117575,0.00117575
5,764.923,1.88347,2.17475,1.84737,0.31921,0.34752,0.28164,0.11306,2.08123,2.28705,1.96781,0.001151,0.001151,0.001151
6,910.66,1.82176,2.02491,1.7957,0.40851,0.36852,0.32937,0.13136,2.05658,2.19675,1.9403,0.00112625,0.00112625,0.00112625
7,1056.39,1.75547,1.90376,1.73823,0.40989,0.3729,0.33388,0.13704,2.01578,2.10408,1.889,0.0011015,0.0011015,0.0011015
8,1201.18,1.695,1.78197,1.69561,0.41002,0.38459,0.35968,0.1467,2.03727,2.07854,1.94197,0.00107675,0.00107675,0.00107675
9,1346.14,1.62647,1.63884,1.63957,0.44243,0.39084,0.35922,0.14933,2.03938,2.03629,1.94378,0.001052,0.001052,0.001052
10,1492.28,1.55082,1.50777,1.5793,0.40734,0.40998,0.36323,0.15041,2.05815,2.03216,1.93397,0.00102725,0.00102725,0.00102725
11,1635.97,1.48694,1.39478,1.53107,0.41072,0.39361,0.35878,0.14811,2.09124,2.08285,2.00306,0.0010025,0.0010025,0.0010025
12,1780.17,1.4172,1.27918,1.47822,0.43303,0.39279,0.36267,0.15058,2.08352,2.00959,2.00895,0.00097775,0.00097775,0.00097775
13,1925.05,1.34928,1.16247,1.43069,0.40676,0.41963,0.36833,0.15176,2.09006,2.0365,2.01331,0.000953,0.000953,0.000953
14,2071.4,1.27232,1.04919,1.377,0.43695,0.40311,0.36594,0.15016,2.11987,2.01836,2.07986,0.00092825,0.00092825,0.00092825
15,2215.47,1.21494,0.96101,1.3325,0.47251,0.37396,0.35468,0.14102,2.14139,2.05635,2.13023,0.0009035,0.0009035,0.0009035
16,2357.77,1.15233,0.87587,1.2908,0.43321,0.4016,0.35214,0.14071,2.1991,2.09495,2.18627,0.00087875,0.00087875,0.00087875
17,2499.67,1.09129,0.81967,1.24554,0.41853,0.40262,0.34108,0.13822,2.2099,2.15903,2.22353,0.000854,0.000854,0.000854
18,2642.08,1.0376,0.74331,1.20818,0.45307,0.35886,0.33771,0.13683,2.22663,2.17888,2.27856,0.00082925,0.00082925,0.00082925
19,2788.79,0.97781,0.68869,1.16905,0.42351,0.3891,0.34524,0.14229,2.21877,2.19307,2.30442,0.0008045,0.0008045,0.0008045
20,2934.67,0.93774,0.6521,1.147,0.45543,0.3815,0.33741,0.13426,2.25266,2.20765,2.36292,0.00077975,0.00077975,0.00077975
21,3078.84,0.88171,0.61118,1.1108,0.4571,0.36917,0.33849,0.13749,2.24683,2.19669,2.38542,0.000755,0.000755,0.000755
22,3221.53,0.83908,0.57171,1.08398,0.44779,0.3734,0.3266,0.13452,2.26187,2.33344,2.40272,0.00073025,0.00073025,0.00073025
23,3363.98,0.79567,0.53967,1.05892,0.42478,0.36547,0.30658,0.12413,2.29056,2.43537,2.45512,0.0007055,0.0007055,0.0007055
